"응답자특성별(1)","응답자특성별(2)","시점",성별(1),분석대상자수 (명),흡연율 (%),표준오차
"학교급별","고등학교","2021",여학생,12018,4.2,0.3
"학교급별","고등학교","2022",전체,23835,7.1,0.3
"학교급별","고등학교","2022",남학생,12214,10.4,0.4
"학교급별","고등학교","2022",여학생,11621,3.6,0.2
"학교급별","고등학교","2023",전체,24479,6.4,0.2
"학교급별","고등학교","2023",남학생,12381,9.0,0.4
"학교급별","고등학교","2023",여학생,12098,3.6,0.2
"지역별","서울","2014",전체,10997,8.7,0.7
"지역별","서울","2014",남학생,5537,13.1,0.8
"지역별","서울","2014",여학생,5460,3.9,0.4
"지역별","서울","2015",전체,9710,7.0,0.6
"지역별","서울","2015",남학생,4846,10.7,0.8
"지역별","서울","2015",여학생,4864,3.0,0.3
"지역별","서울","2016",전체,9567,5.8,0.5
"지역별","서울","2016",남학생,4804,8.5,0.7
"지역별","서울","2016",여학생,4763,2.8,0.3
"지역별","서울","2017",전체,9287,5.7,0.5
"지역별","서울","2017",남학생,4541,8.2,0.5
"지역별","서울","2017",여학생,4746,3.1,0.4
"지역별","서울","2018",전체,8771,5.7,0.5
"지역별","서울","2018",남학생,4402,7.9,0.6
"지역별","서울","2018",여학생,4369,3.3,0.4
"지역별","서울","2019",전체,8337,5.7,0.4
"지역별","서울","2019",남학생,4210,8.2,0.7
"지역별","서울","2019",여학생,4127,3.1,0.3
"지역별","서울","2020",전체,7691,3.4,0.3
"지역별","서울","2020",남학생,4067,4.2,0.4
"지역별","서울","2020",여학생,3624,2.5,0.4
"지역별","서울","2021",전체,7643,3.3,0.3
"지역별","서울","2021",남학생,3855,4.6,0.5
"지역별","서울","2021",여학생,3788,2.0,0.3
"지역별","서울","2022",전체,7244,3.3,0.3
"지역별","서울","2022",남학생,3541,4.4,0.5
"지역별","서울","2022",여학생,3703,2.1,0.2
"지역별","서울","2023",전체,7364,3.5,0.3
"지역별","서울","2023",남학생,3684,4.8,0.5
"지역별","서울","2023",여학생,3680,2.2,0.3
"지역별","부산","2014",전체,4436,9.1,0.8
"지역별","부산","2014",남학생,2300,13.5,1.2
"지역별","부산","2014",여학생,2136,4.2,0.5
"지역별","부산","2015",전체,4209,7.0,0.8
"지역별","부산","2015",남학생,2159,9.9,1.1
"지역별","부산","2015",여학생,2050,3.7,0.7
"지역별","부산","2016",전체,3979,5.7,0.7
"지역별","부산","2016",남학생,1957,8.5,0.9
"지역별","부산","2016",여학생,2022,2.5,0.6
"지역별","부산","2017",전체,3752,5.0,0.7
"지역별","부산","2017",남학생,1738,7.9,1.0
"지역별","부산","2017",여학생,2014,1.7,0.4
"지역별","부산","2018",전체,3818,5.8,0.7
"지역별","부산","2018",남학생,1882,8.8,0.9
"지역별","부산","2018",여학생,1936,2.5,0.5
"지역별","부산","2019",전체,3512,7.4,0.7
"지역별","부산","2019",남학생,1872,10.2,1.1
"지역별","부산","2019",여학생,1640,4.3,0.9
"지역별","부산","2020",전체,3326,3.7,0.4
"지역별","부산","2020",남학생,1714,4.5,0.5
"지역별","부산","2020",여학생,1612,2.8,0.5
"지역별","부산","2021",전체,3235,4.0,0.4
"지역별","부산","2021",남학생,1754,5.4,0.7
"지역별","부산","2021",여학생,1481,2.5,0.4
"지역별","부산","2022",전체,2975,3.9,0.5
"지역별","부산","2022",남학생,1573,5.5,0.7
"지역별","부산","2022",여학생,1402,2.2,0.5
"지역별","부산","2023",전체,3137,3.6,0.6
"지역별","부산","2023",남학생,1572,5.5,1.0
"지역별","부산","2023",여학생,1565,1.6,0.3
"지역별","대구","2014",전체,3952,7.8,0.9
"지역별","대구","2014",남학생,2063,11.8,1.3
"지역별","대구","2014",여학생,1889,3.4,0.5
"지역별","대구","2015",전체,3614,7.4,1.1
"지역별","대구","2015",남학생,2081,12.3,1.4
"지역별","대구","2015",여학생,1533,1.9,0.5
"지역별","대구","2016",전체,3292,5.6,0.8
"지역별","대구","2016",남학생,1806,9.3,1.2
"지역별","대구","2016",여학생,1486,1.4,0.4
"지역별","대구","2017",전체,3288,5.9,0.8
"지역별","대구","2017",남학생,1707,9.2,1.2
"지역별","대구","2017",여학생,1581,2.2,0.4
"지역별","대구","2018",전체,3066,6.8,1.2
"지역별","대구","2018",남학생,1473,10.4,1.7
"지역별","대구","2018",여학생,1593,2.8,0.6
